"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"environment";4;4;0.0;0.0
"equal";5;5;0.0;0.0
"equip";29;54;0.0;0.0
"equiti";3;4;0.0;0.0
"equival";22;24;0.0;0.0
"erp";8;10;0.0;0.0
"error";3;3;0.0;0.0
"esl";6;13;0.0;0.0
"especi";4;4;0.0;0.0
"essenti";21;22;0.0;0.0
"establish";39;47;0.0;0.0
"estat";5;7;0.0;0.0
"estim";11;24;0.0;0.0
"etc";25;30;0.0;0.0
"ethic";12;12;0.0;0.0
"european";4;4;0.0;0.0
"evalu";4;6;0.0;0.0
"even";19;21;0.0;0.0
"event";15;32;0.0;0.0
"everydai";3;3;0.0;0.0
"evid";3;3;0.0;0.0
"exam";5;12;0.0;0.0
"exampl";6;6;0.0;0.0
"exce";9;10;0.0;0.0
"exceed";5;5;0.0;0.0
"excel";92;131;0.0;0.0
"except";18;20;0.0;0.0
"excit";24;25;0.0;0.0
"execut";12;16;0.0;0.0
"exercis";3;3;0.0;0.0
"exist";21;25;0.0;0.0
"exp";6;7;0.0;0.0
"expand";15;16;0.0;0.0
"expect";28;28;0.0;0.0
"expens";6;6;0.0;0.0
"experi";234;492;0.0;0.0
"experienc";48;52;0.0;0.0
"expert";10;10;0.0;0.0
"expertis";9;9;0.0;0.0
"explain";5;5;0.0;0.0
"extend";7;7;0.0;0.0
"extens";11;14;0.0;0.0
"extern";11;14;0.0;0.0
"extra";8;9;0.0;0.0
"extrem";3;4;0.0;0.0
"ey";6;6;0.0;0.0
"f";14;19;0.0;0.0
"fabric";3;8;0.0;0.0
"face";5;9;0.0;0.0
"facebook";5;5;0.0;0.0
"facial";3;4;0.0;0.0
"facil";21;36;0.0;0.0
"facilit";9;11;0.0;0.0
"fair";5;8;0.0;0.0
"famili";16;19;0.0;0.0
"familiar";19;20;0.0;0.0
"fan";4;4;0.0;0.0
"fantast";4;4;0.0;0.0
"fashion";9;10;0.0;0.0
"fast";50;57;0.0;0.0
"fax";30;31;0.0;0.0
"featur";5;5;0.0;0.0
"feder";3;3;0.0;0.0
"feed";4;4;0.0;0.0
"feedback";5;6;0.0;0.0
"feel";14;14;0.0;0.0
"feet";4;4;0.0;0.0
"femal";5;5;0.0;0.0
"field";22;27;0.0;0.0
"file";12;16;0.0;0.0
"fill";13;14;0.0;0.0
"film";4;7;0.0;0.0
"financ";9;12;0.0;0.0
"financi";17;37;0.0;0.0
"find";17;17;0.0;0.0
"fine";4;4;0.0;0.0
"finish";9;9;0.0;0.0
"fire";3;3;0.0;0.0
"firm";17;23;0.0;0.0
"fit";24;31;0.0;0.0
"fix";3;3;0.0;0.0
"flash";3;3;0.0;0.0
"flat";3;3;0.0;0.0
