"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"busi_develop";3;5;0.0;0.0
"busi_divis";3;3;0.0;0.0
"busi_divis_capac";3;3;0.0;0.0
"busi_divis_capac_move";3;3;0.0;0.0
"busi_grow";4;4;0.0;0.0
"busi_hour";3;3;0.0;0.0
"busi_includ";4;4;0.0;0.0
"busi_includ_demolit";3;3;0.0;0.0
"busi_includ_demolit_mill";3;3;0.0;0.0
"busi_nearli";3;3;0.0;0.0
"busi_nearli_year";3;3;0.0;0.0
"busi_nearli_year_crush";3;3;0.0;0.0
"busi_process";3;4;0.0;0.0
"busi_requir";3;3;0.0;0.0
"c";21;30;0.0;0.0
"ca";45;62;0.0;0.0
"ca_click";3;3;0.0;0.0
"ca_click_employ";3;3;0.0;0.0
"ca_click_employ_fax";3;3;0.0;0.0
"ca_excit";3;3;0.0;0.0
"ca_excit_career";3;3;0.0;0.0
"ca_excit_career_opportun";3;3;0.0;0.0
"ca_fax";5;5;0.0;0.0
"ca_job";4;4;0.0;0.0
"ca_wpcg";3;3;0.0;0.0
"ca_wpcg_wpcg";3;3;0.0;0.0
"ca_wpcg_wpcg_special";3;3;0.0;0.0
"cad";3;3;0.0;0.0
"cafe";4;5;0.0;0.0
"calendar";4;4;0.0;0.0
"call";85;98;0.0;0.0
"call_email";3;3;0.0;0.0
"call_job";4;4;0.0;0.0
"call_job_pleas";3;3;0.0;0.0
"call_job_pleas_contact";3;3;0.0;0.0
"call_mike";3;3;0.0;0.0
"call_pleas";12;12;0.0;0.0
"call_pleas_look";6;6;0.0;0.0
"call_pleas_look_forward";6;6;0.0;0.0
"campaign";6;8;0.0;0.0
"canada";40;49;0.0;0.0
"canada_s";14;18;0.0;0.0
"canada_s_largest";5;5;0.0;0.0
"canada_s_lead";4;4;0.0;0.0
"canadian";17;25;0.0;0.0
"candid";91;120;0.0;0.0
"candid_abl";5;5;0.0;0.0
"candid_comfort";3;3;0.0;0.0
"candid_consid";5;5;0.0;0.0
"candid_consid_contact";3;3;0.0;0.0
"candid_contact";15;15;0.0;0.0
"candid_contact_facil";3;3;0.0;0.0
"candid_contact_facil_sq";3;3;0.0;0.0
"candid_contact_interview";6;6;0.0;0.0
"candid_contact_interview_interest";3;3;0.0;0.0
"candid_experi";4;4;0.0;0.0
"candid_minimum";5;5;0.0;0.0
"candid_minimum_year";5;5;0.0;0.0
"candid_minimum_year_retail";3;3;0.0;0.0
"candid_posit";3;3;0.0;0.0
"candid_possess";3;3;0.0;0.0
"candid_select";4;4;0.0;0.0
"candid_select_interview";4;4;0.0;0.0
"candid_select_interview_contact";3;3;0.0;0.0
"candid_year";3;3;0.0;0.0
"cantones";3;3;0.0;0.0
"capabl";13;15;0.0;0.0
"capac";7;8;0.0;0.0
"capac_move";3;3;0.0;0.0
